CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CONDRB22,납품업체단가,전-5-3,ROUND JUNCTION BOX CASST IRON W/H.D.G Ex d IIC,"22mm (3/4"")",EA,1,13790,13790,54735,54735,,,68525,FORM 7
CONDRB28,납품업체단가,전-5-3,ROUND JUNCTION BOX CASST IRON W/H.D.G Ex d IIC,"28mm (1"")",EA,1,16300,16300,54735,54735,,,71035,FORM 7
CONDRB36,납품업체단가,전-5-3,ROUND JUNCTION BOX CASST IRON W/H.D.G Ex d IIC,"36mm (11/4"")",EA,1,26750,26750,54735,54735,,,81485,FORM 7
CONDRB42,납품업체단가,전-5-3,ROUND JUNCTION BOX CASST IRON W/H.D.G Ex d IIC,"42mm (11/2"")",EA,1,30550,30550,54735,54735,,,85285,FORM 7
CONDRB54,납품업체단가,전-5-3,ROUND JUNCTION BOX CASST IRON W/H.D.G Ex d IIC,"54mm (2"")",EA,1,36250,36250,54735,54735,,,90985,FORM 7
CONF16500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"16mm (1/2"")x500L",EA,1,8750,8750,14450,14450,,,23200,
CONF22500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"22mm (3/4"")x500L",EA,1,12390,12390,19376,19376,,,31766,
CONF28500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"28mm (1"")x500L",EA,1,16760,16760,23645,23645,,,40405,
CONF36500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"36mm (11/4"")x500L",EA,1,25800,25800,28571,28571,,,54371,
CONF42500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"42mm (11/2"")x500L",EA,1,32340,32340,34154,34154,,,66494,
CONF54500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"54mm (2"")x500L",EA,1,46000,46000,44663,44663,,,90663,
CONF70500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"70mm (21/2"")x500L",EA,1,89680,89680,51232,51232,,,140912,
CONF82500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"82mm (3"")x500L",EA,1,125280,125280,57800,57800,,,183080,
CONF104500,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"104mm (4"")x500L",EA,1,180180,180180,70936,70936,,,251116,
CONF16700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"16mm (1/2"")x700L",EA,1,9560,9560,14450,14450,,,24010,
CONF22700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"22mm (3/4"")x700L",EA,1,13750,13750,19376,19376,,,33126,
CONF28700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"28mm (1"")x700L",EA,1,18700,18700,23645,23645,,,42345,
CONF36700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"36mm (11/4"")x700L",EA,1,27390,27390,28571,28571,,,55961,
CONF42700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"42mm (11/2"")x700L",EA,1,35510,35510,34154,34154,,,69664,
